playername|elo|folder|m1|m2|m3|m4|m5|m6|m7|count
Alex Sandro|1000|SAN|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Alex Telles|1000|TEL|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Andrew Robertson|1000|ROB|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Antoine Griezmann|1000|GRI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Aymeric Laporte|1000|LAP|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Bernardo Silva|1000|BSI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Bruno Fernandes|1000|FER|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Casemiro|1000|CAS|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Christian Eriksen|1000|ERI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Ciro Immobile|1000|IMM|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Cristiano Ronaldo|1000|RON|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
David Silva|1000|DSI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Douglas Costa|1000|COS|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Dries Mertens|1000|MER|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Eden Hazard|1000|HAZ|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Edinson Cavani|1000|CAV|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Frenkie de Jong|1000|JON|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Georginio Wijnaldum|1000|WIJ|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Giorgio Chiellini|1000|CHI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Hakim Ziyech|1000|ZIY|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Harry Kane|1000|KAN|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
