playername|elo|folder|m1|m2|m3|m4|m5|m6|m7|count
Alex Sandro|988|SAN|1.0|0.95|1.0|1.0|1.0|1.0|1.0|0
Alex Telles|988|TEL|1.0|1.0|0.95|1.0|1.0|1.0|1.0|0
Andrew Robertson|1007|ROB|1.0|1.0|1.1|1.0|1.0|1.0|1.0|1
Antoine Griezmann|980|GRI|1.0|1.0|1.0|0.95|1.0|1.0|0.9|0
Aymeric Laporte|1001|LAP|1.0|0.95|1.15|1.0|0.95|1.0|1.0|1
Bernardo Silva|998|BSI|1.0|1.0|1.0|0.95|1.0|1.0|1.0|1
Bruno Fernandes|1000|FER|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Casemiro|1000|CAS|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Christian Eriksen|1000|ERI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Ciro Immobile|1000|IMM|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Cristiano Ronaldo|1000|RON|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
David Silva|1000|DSI|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Douglas Costa|1000|COS|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Dries Mertens|1000|MER|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0
Eden Hazard|994|HAZ|1.0|1.0|1.0|0.95|1.0|1.0|1.0|0
Edinson Cavani|1009|CAV|0.95|1.0|1.15|1.0|1.0|1.0|1.0|1
Frenkie de Jong|1041|JON|1.0|1.0|1.15|1.0|1.0|1.0|1.25|3
Georginio Wijnaldum|986|WIJ|1.0|1.0|1.0|1.0|0.9|1.0|1.0|0
Giorgio Chiellini|988|CHI|1.0|1.0|0.95|1.0|1.0|0.95|1.0|0
Hakim Ziyech|993|ZIY|0.95|1.0|1.0|1.0|0.95|1.1|1.0|1
Harry Kane|988|KAN|1.0|0.95|1.0|0.95|1.0|1.0|1.0|0
Jamie Vardy|1001|VAR|0.95|1.0|1.0|1.1|1.0|1.0|1.0|2
Jordan Henderson|1013|HEN|1.0|1.0|0.95|1.0|1.0|1.0|1.15|2
Jordi Alba|988|ALB|1.0|0.95|0.95|1.0|1.0|1.0|1.0|0
Joshua Kimmich|1021|KIM|1.0|1.1|1.0|1.0|1.15|1.0|1.0|2
Kai Havertz|982|HAV|1.0|1.0|1.0|1.0|0.9|1.0|0.95|0
Kalidou Koulibaly|982|KOU|0.95|1.0|1.0|1.0|1.0|0.9|1.0|0
Karim Benzema|1039|BEN|1.0|1.0|1.15|1.15|0.95|1.15|1.0|3
Kevin De Bruyne|994|BRU|1.0|0.95|1.0|1.0|1.0|1.0|1.0|0
Kyle Walker|1009|WAL|1.0|1.0|0.95|1.0|1.0|1.15|1.0|1
Kylian Mbappé|994|MBA|1.0|1.0|0.95|1.0|1.0|1.0|1.0|0
